EdgeList: [
  [1 3]
  [1 4]
  [1 5]
  [1 9]
  [1 10]
  [1 11]
  [1 12]
  [1 14]
  [1 15]
  [1 18]
  [1 21]
  [1 24]
  [1 25]
  [1 27]
  [1 28]
  [1 29]
  [1 36]
  [2 5]
  [2 6]
  [2 7]
  [2 8]
  [2 9]
  [2 10]
  [2 11]
  [2 13]
  [2 14]
  [2 15]
  [2 16]
  [2 20]
  [2 22]
  [2 23]
  [2 30]
  [2 31]
  [2 32]
  [2 33]
  [2 34]
  [2 37]
  [2 39]
  [3 4]
  [3 5]
  [3 6]
  [3 8]
  [3 11]
  [3 12]
  [3 15]
  [3 16]
  [3 17]
  [3 20]
  [3 21]
  [3 22]
  [3 27]
  [3 31]
  [3 33]
  [3 34]
  [3 35]
  [3 38]
  [3 40]
  [4 7]
  [4 10]
  [4 15]
  [4 16]
  [4 17]
  [4 21]
  [4 22]
  [4 25]
  [4 26]
  [4 27]
  [4 30]
  [4 31]
  [4 33]
  [4 35]
  [4 36]
  [4 39]
  [4 40]
  [5 8]
  [5 10]
  [5 11]
  [5 12]
  [5 14]
  [5 15]
  [5 16]
  [5 18]
  [5 21]
  [5 22]
  [5 24]
  [5 25]
  [5 28]
  [5 31]
  [5 32]
  [5 33]
  [5 34]
  [5 35]
  [5 39]
  [5 40]
  [6 7]
  [6 9]
  [6 10]
  [6 11]
  [6 12]
  [6 13]
  [6 14]
  [6 16]
  [6 19]
  [6 25]
  [6 26]
  [6 27]
  [6 28]
  [6 29]
  [6 30]
  [6 32]
  [6 34]
  [6 35]
  [6 40]
  [7 8]
  [7 13]
  [7 17]
  [7 19]
  [7 20]
  [7 23]
  [7 24]
  [7 26]
  [7 29]
  [7 33]
  [7 35]
  [7 36]
  [7 38]
  [7 39]
  [8 9]
  [8 10]
  [8 13]
  [8 14]
  [8 15]
  [8 19]
  [8 20]
  [8 26]
  [8 28]
  [8 31]
  [8 32]
  [8 33]
  [8 35]
  [8 38]
  [8 40]
  [9 10]
  [9 13]
  [9 14]
  [9 15]
  [9 16]
  [9 19]
  [9 22]
  [9 23]
  [9 24]
  [9 30]
  [9 31]
  [9 32]
  [9 37]
  [9 38]
  [9 39]
  [10 12]
  [10 14]
  [10 20]
  [10 22]
  [10 27]
  [10 29]
  [10 32]
  [10 34]
  [10 35]
  [10 37]
  [10 38]
  [10 39]
  [10 40]
  [11 14]
  [11 16]
  [11 20]
  [11 22]
  [11 24]
  [11 25]
  [11 26]
  [11 28]
  [11 31]
  [11 33]
  [11 35]
  [12 13]
  [12 14]
  [12 16]
  [12 17]
  [12 20]
  [12 21]
  [12 22]
  [12 23]
  [12 24]
  [12 25]
  [12 26]
  [12 31]
  [12 33]
  [12 34]
  [12 35]
  [12 38]
  [12 39]
  [12 40]
  [13 14]
  [13 17]
  [13 18]
  [13 21]
  [13 25]
  [13 26]
  [13 27]
  [13 28]
  [13 29]
  [13 31]
  [13 32]
  [13 34]
  [13 36]
  [13 37]
  [13 39]
  [14 16]
  [14 17]
  [14 18]
  [14 21]
  [14 22]
  [14 24]
  [14 38]
  [14 39]
  [14 40]
  [15 20]
  [15 21]
  [15 22]
  [15 23]
  [15 24]
  [15 26]
  [15 27]
  [15 30]
  [15 31]
  [15 33]
  [15 34]
  [15 35]
  [16 17]
  [16 18]
  [16 19]
  [16 23]
  [16 27]
  [16 28]
  [16 29]
  [16 30]
  [16 31]
  [16 33]
  [16 34]
  [16 35]
  [16 36]
  [16 38]
  [16 39]
  [17 18]
  [17 20]
  [17 21]
  [17 22]
  [17 23]
  [17 24]
  [17 25]
  [17 27]
  [17 30]
  [17 31]
  [17 32]
  [17 35]
  [18 19]
  [18 20]
  [18 21]
  [18 22]
  [18 25]
  [18 28]
  [18 31]
  [18 34]
  [18 35]
  [18 36]
  [18 39]
  [19 20]
  [19 23]
  [19 27]
  [19 30]
  [19 31]
  [19 32]
  [19 34]
  [19 37]
  [20 22]
  [20 25]
  [20 28]
  [20 29]
  [20 31]
  [20 34]
  [20 36]
  [20 37]
  [20 39]
  [20 40]
  [21 23]
  [21 24]
  [21 26]
  [21 29]
  [21 30]
  [21 32]
  [21 34]
  [21 38]
  [21 40]
  [22 23]
  [22 25]
  [22 27]
  [22 29]
  [22 31]
  [22 33]
  [22 34]
  [22 35]
  [22 36]
  [22 37]
  [22 40]
  [23 24]
  [23 25]
  [23 29]
  [23 30]
  [23 31]
  [23 32]
  [23 33]
  [23 34]
  [23 36]
  [23 40]
  [24 26]
  [24 29]
  [24 30]
  [24 31]
  [24 32]
  [24 34]
  [24 36]
  [24 37]
  [24 39]
  [24 40]
  [25 27]
  [25 29]
  [25 33]
  [25 35]
  [25 36]
  [25 39]
  [26 30]
  [26 31]
  [26 33]
  [26 34]
  [26 35]
  [26 36]
  [26 37]
  [26 39]
  [26 40]
  [27 30]
  [27 37]
  [28 30]
  [28 31]
  [28 32]
  [28 35]
  [28 36]
  [29 30]
  [29 31]
  [29 32]
  [29 33]
  [29 34]
  [29 35]
  [29 36]
  [30 33]
  [30 34]
  [30 36]
  [30 39]
  [31 33]
  [31 34]
  [31 35]
  [31 36]
  [31 39]
  [32 33]
  [32 37]
  [32 38]
  [32 39]
  [33 34]
  [33 39]
  [33 40]
  [34 35]
  [34 39]
  [35 37]
  [35 39]
  [36 38]
  [36 39]
  [37 39]
  [38 40]
  [39 40]
]
