EdgeList: [
  [1 3]
  [1 4]
  [1 5]
  [1 9]
  [1 10]
  [1 11]
  [1 12]
  [1 14]
  [1 15]
  [1 18]
  [2 3]
  [2 6]
  [2 7]
  [2 9]
  [2 10]
  [2 11]
  [2 18]
  [3 8]
  [3 9]
  [3 10]
  [3 11]
  [3 12]
  [3 13]
  [3 14]
  [3 16]
  [3 17]
  [3 18]
  [3 19]
  [4 7]
  [4 9]
  [4 10]
  [4 17]
  [4 18]
  [4 19]
  [4 20]
  [5 6]
  [5 9]
  [5 11]
  [5 13]
  [5 14]
  [5 15]
  [5 17]
  [5 20]
  [6 7]
  [6 10]
  [6 11]
  [6 12]
  [6 15]
  [6 16]
  [6 17]
  [7 9]
  [7 13]
  [7 15]
  [7 16]
  [7 17]
  [7 20]
  [8 10]
  [8 13]
  [8 16]
  [9 10]
  [9 11]
  [9 12]
  [9 16]
  [9 17]
  [9 20]
  [10 11]
  [10 12]
  [10 15]
  [10 16]
  [10 18]
  [10 20]
  [11 12]
  [11 15]
  [11 16]
  [11 19]
  [12 13]
  [12 14]
  [12 15]
  [12 17]
  [12 18]
  [12 19]
  [13 14]
  [13 17]
  [13 18]
  [13 20]
  [14 15]
  [14 18]
  [15 16]
  [15 17]
  [15 18]
  [15 19]
  [15 20]
  [16 20]
  [17 18]
  [17 19]
  [18 19]
  [18 20]
  [19 20]
]
