EdgeList: [
  [1 3]
  [1 9]
  [1 11]
  [1 14]
  [1 21]
  [1 28]
  [1 29]
  [2 5]
  [2 8]
  [2 31]
  [3 15]
  [3 16]
  [3 21]
  [3 27]
  [4 15]
  [4 17]
  [4 22]
  [4 25]
  [4 27]
  [5 16]
  [5 21]
  [5 32]
  [5 39]
  [6 19]
  [6 29]
  [7 13]
  [7 19]
  [8 9]
  [8 13]
  [8 26]
  [9 13]
  [9 16]
  [9 23]
  [9 24]
  [10 20]
  [10 38]
  [11 35]
  [12 14]
  [12 33]
  [13 18]
  [13 27]
  [13 31]
  [13 39]
  [14 21]
  [15 21]
  [15 30]
  [16 18]
  [16 30]
  [16 38]
  [17 18]
  [17 22]
  [17 31]
  [17 32]
  [18 20]
  [18 35]
  [19 20]
  [20 34]
  [20 40]
  [21 30]
  [21 32]
  [21 40]
  [23 34]
  [24 32]
  [24 37]
  [24 39]
  [26 35]
  [26 36]
  [28 30]
  [29 31]
  [29 32]
  [29 36]
  [30 34]
  [31 34]
  [37 39]
]
