EdgeList: [
  [1 3]
  [1 4]
  [1 5]
  [1 9]
  [1 11]
  [1 12]
  [1 14]
  [1 15]
  [1 18]
  [1 21]
  [1 25]
  [1 28]
  [1 29]
  [1 43]
  [1 44]
  [1 45]
  [1 46]
  [1 47]
  [1 48]
  [1 49]
  [1 53]
  [1 54]
  [1 58]
  [1 60]
  [2 10]
  [2 11]
  [2 13]
  [2 14]
  [2 22]
  [2 23]
  [2 25]
  [2 29]
  [2 32]
  [2 33]
  [2 34]
  [2 38]
  [2 44]
  [2 48]
  [2 50]
  [2 55]
  [2 57]
  [2 60]
  [3 6]
  [3 11]
  [3 13]
  [3 18]
  [3 21]
  [3 23]
  [3 26]
  [3 29]
  [3 32]
  [3 35]
  [3 41]
  [3 42]
  [3 45]
  [3 46]
  [3 47]
  [3 49]
  [3 52]
  [3 53]
  [3 55]
  [3 56]
  [4 6]
  [4 7]
  [4 14]
  [4 18]
  [4 19]
  [4 22]
  [4 23]
  [4 28]
  [4 34]
  [4 36]
  [4 38]
  [4 41]
  [4 49]
  [4 50]
  [4 55]
  [4 59]
  [5 6]
  [5 7]
  [5 10]
  [5 11]
  [5 13]
  [5 20]
  [5 22]
  [5 25]
  [5 28]
  [5 32]
  [5 33]
  [5 34]
  [5 39]
  [5 45]
  [5 47]
  [5 50]
  [5 51]
  [5 52]
  [5 54]
  [5 57]
  [5 59]
  [6 9]
  [6 11]
  [6 12]
  [6 15]
  [6 19]
  [6 20]
  [6 26]
  [6 27]
  [6 33]
  [6 34]
  [6 35]
  [6 40]
  [6 46]
  [6 53]
  [6 55]
  [6 58]
  [7 10]
  [7 11]
  [7 12]
  [7 16]
  [7 22]
  [7 24]
  [7 26]
  [7 27]
  [7 35]
  [7 37]
  [7 44]
  [7 54]
  [7 55]
  [8 11]
  [8 12]
  [8 18]
  [8 22]
  [8 23]
  [8 30]
  [8 31]
  [8 32]
  [8 33]
  [8 36]
  [8 39]
  [8 42]
  [8 44]
  [8 47]
  [8 49]
  [8 52]
  [8 53]
  [9 19]
  [9 20]
  [9 25]
  [9 26]
  [9 27]
  [9 28]
  [9 31]
  [9 32]
  [9 35]
  [9 39]
  [9 47]
  [9 56]
  [9 57]
  [9 59]
  [10 13]
  [10 15]
  [10 17]
  [10 20]
  [10 22]
  [10 24]
  [10 26]
  [10 32]
  [10 33]
  [10 34]
  [10 43]
  [10 44]
  [10 45]
  [10 46]
  [10 49]
  [10 52]
  [10 55]
  [10 58]
  [10 59]
  [11 16]
  [11 19]
  [11 23]
  [11 33]
  [11 41]
  [11 47]
  [11 50]
  [11 52]
  [11 56]
  [11 58]
  [11 59]
  [12 16]
  [12 17]
  [12 19]
  [12 27]
  [12 28]
  [12 38]
  [12 39]
  [12 40]
  [12 41]
  [12 42]
  [12 45]
  [12 46]
  [12 51]
  [12 52]
  [12 53]
  [12 54]
  [12 55]
  [12 56]
  [12 58]
  [13 15]
  [13 22]
  [13 23]
  [13 28]
  [13 30]
  [13 31]
  [13 35]
  [13 39]
  [13 50]
  [13 51]
  [13 53]
  [13 54]
  [13 55]
  [13 56]
  [13 59]
  [13 60]
  [14 29]
  [14 30]
  [14 34]
  [14 35]
  [14 41]
  [14 42]
  [14 45]
  [14 46]
  [14 53]
  [14 54]
  [14 59]
  [15 18]
  [15 25]
  [15 39]
  [15 44]
  [15 49]
  [15 52]
  [15 53]
  [15 56]
  [15 60]
  [16 21]
  [16 24]
  [16 31]
  [16 37]
  [16 38]
  [16 42]
  [16 49]
  [16 52]
  [16 54]
  [17 20]
  [17 31]
  [17 45]
  [17 46]
  [17 52]
  [17 58]
  [17 60]
  [18 20]
  [18 24]
  [18 25]
  [18 28]
  [18 30]
  [18 32]
  [18 33]
  [18 34]
  [18 38]
  [18 44]
  [18 46]
  [18 49]
  [18 53]
  [18 56]
  [18 60]
  [19 23]
  [19 40]
  [19 41]
  [19 43]
  [19 44]
  [19 50]
  [19 56]
  [19 58]
  [20 27]
  [20 35]
  [20 36]
  [20 37]
  [20 41]
  [20 42]
  [20 47]
  [20 51]
  [20 53]
  [20 60]
  [21 23]
  [21 27]
  [21 32]
  [21 38]
  [21 39]
  [21 45]
  [21 47]
  [21 48]
  [21 50]
  [21 52]
  [21 53]
  [21 56]
  [21 58]
  [21 60]
  [22 23]
  [22 24]
  [22 25]
  [22 27]
  [22 28]
  [22 30]
  [22 32]
  [22 33]
  [22 40]
  [22 43]
  [22 49]
  [22 55]
  [22 56]
  [22 58]
  [22 59]
  [23 30]
  [23 36]
  [23 38]
  [23 42]
  [23 46]
  [23 48]
  [23 50]
  [23 51]
  [23 58]
  [24 32]
  [24 34]
  [24 35]
  [24 46]
  [24 49]
  [24 50]
  [24 54]
  [24 58]
  [24 60]
  [25 27]
  [25 34]
  [25 35]
  [25 36]
  [25 39]
  [25 43]
  [25 45]
  [25 47]
  [25 51]
  [25 54]
  [25 56]
  [25 57]
  [25 58]
  [25 60]
  [26 28]
  [26 34]
  [26 36]
  [26 37]
  [26 44]
  [26 45]
  [26 51]
  [26 53]
  [26 60]
  [27 29]
  [27 36]
  [27 37]
  [27 38]
  [27 42]
  [27 54]
  [27 55]
  [27 58]
  [27 59]
  [28 31]
  [28 33]
  [28 47]
  [28 48]
  [28 49]
  [28 54]
  [28 55]
  [28 59]
  [29 30]
  [29 36]
  [29 37]
  [29 39]
  [29 46]
  [30 36]
  [30 37]
  [30 40]
  [30 41]
  [30 42]
  [30 44]
  [30 48]
  [30 51]
  [30 53]
  [30 57]
  [31 32]
  [31 34]
  [31 46]
  [31 52]
  [31 53]
  [31 57]
  [31 60]
  [32 34]
  [32 36]
  [32 39]
  [32 42]
  [32 43]
  [32 45]
  [32 48]
  [32 53]
  [32 54]
  [32 57]
  [32 60]
  [33 34]
  [33 35]
  [33 40]
  [33 41]
  [33 43]
  [33 47]
  [33 50]
  [33 52]
  [33 53]
  [33 56]
  [33 59]
  [34 35]
  [34 44]
  [34 45]
  [34 53]
  [34 56]
  [35 37]
  [35 40]
