EdgeList: [
  [1 3]
  [1 9]
  [1 11]
  [1 14]
  [1 21]
  [1 28]
  [1 29]
  [1 43]
  [1 46]
  [2 11]
  [2 32]
  [2 33]
  [2 38]
  [2 44]
  [3 11]
  [3 13]
  [3 18]
  [3 21]
  [3 23]
  [3 47]
  [3 52]
  [4 7]
  [4 14]
  [4 28]
  [4 38]
  [4 55]
  [5 6]
  [5 28]
  [5 32]
  [5 45]
  [6 9]
  [6 12]
  [6 19]
  [6 20]
  [6 46]
  [7 11]
  [7 37]
  [7 44]
  [8 11]
  [8 23]
  [8 32]
  [8 36]
  [8 44]
  [8 52]
  [9 26]
  [9 35]
  [9 47]
  [9 59]
  [10 17]
  [10 20]
  [10 24]
  [10 33]
  [10 34]
  [10 44]
  [10 59]
  [11 16]
  [11 50]
  [11 56]
  [12 17]
  [12 19]
  [12 27]
  [12 56]
  [13 23]
  [13 28]
  [13 30]
  [13 55]
  [13 56]
  [14 29]
  [14 41]
  [14 42]
  [14 46]
  [14 54]
  [15 18]
  [15 56]
  [16 54]
  [17 20]
  [17 45]
  [17 46]
  [17 52]
  [17 58]
  [18 25]
  [18 34]
  [18 60]
  [19 40]
  [20 27]
  [20 37]
  [20 42]
  [20 51]
  [21 23]
  [21 27]
  [21 32]
  [21 45]
  [21 50]
  [21 58]
  [22 27]
  [22 28]
  [22 33]
  [22 43]
  [22 49]
  [22 55]
  [22 56]
  [22 58]
  [23 30]
  [23 42]
  [23 48]
  [23 50]
  [23 51]
  [24 46]
  [24 54]
  [24 60]
  [25 34]
  [25 35]
  [25 51]
  [25 54]
  [25 60]
  [26 34]
  [26 36]
  [26 37]
  [26 45]
  [26 51]
  [27 55]
  [27 59]
  [28 31]
  [28 33]
  [28 48]
  [29 36]
  [29 37]
  [30 42]
  [30 48]
  [32 42]
  [32 43]
  [32 48]
  [32 60]
  [33 34]
  [33 43]
  [33 50]
  [33 59]
  [34 35]
  [34 45]
  [34 53]
  [35 37]
  [35 41]
  [35 43]
  [36 44]
  [36 49]
  [36 56]
  [37 40]
  [37 49]
  [37 50]
  [38 60]
  [39 44]
  [39 57]
  [40 43]
  [40 50]
  [41 44]
  [42 52]
  [42 53]
  [43 51]
  [43 52]
  [44 53]
  [45 53]
  [45 59]
  [47 48]
  [48 52]
  [50 57]
  [52 54]
  [52 57]
  [53 59]
]
